   Point	                                    	nearest_coord	                            new_distance	    new_point	                                timestamp	    uncertainty
694	POINT (14.60857672708831 59.12387874382193)	9.0	POINT (14.60857672708831 59.12387874382193)	2.0	POINT (59.12389669758322 14.60857672708831)	1610726812.0	2.0
695	POINT (14.60857669540703 59.12387878335104)	9.0	POINT (14.60857669540703 59.12387878335104)	2.3470782196297284	POINT (59.12389985279209 14.60857669540703)	1610726813.0	2.3470782196297284
698	POINT (14.6085541446997 59.12390023082578)	9.0	POINT (14.6085541446997 59.12390023082578)	2.0	POINT (59.12391818458701 14.6085541446997)	1610726814.0	2.0
707	POINT (14.60855291541373 59.12390042521101)	9.0	POINT (14.60855291541373 59.12390042521101)	2.0	POINT (59.12391837897225 14.60855291541373)	1610726822.0	2.0
709	POINT (14.6085492532594 59.1238959302076)	9.0	POINT (14.6085492532594 59.1238959302076)	2.0	POINT (59.12391388396885 14.6085492532594)	1610726823.0	2.0
711	POINT (14.60854866434112 59.12389399961768)	9.0	POINT (14.60854866434112 59.12389399961768)	2.0	POINT (59.12391195337893 14.60854866434112)	1610726824.0	2.0
712	POINT (14.60855133911998 59.1238990094149)	9.0	POINT (14.60855133911998 59.1238990094149)	2.0	POINT (59.12391696317614 14.60855133911998)	1610726825.0	2.0
714	POINT (14.60855134046163 59.12389900977011)	9.0	POINT (14.60855134046163 59.12389900977011)	2.0	POINT (59.12391696353135 14.60855134046163)	1610726826.0	2.0
716	POINT (14.60855134046148 59.12389900976996)	9.0	POINT (14.60855134046148 59.12389900976996)	2.0	POINT (59.1239169635312 14.60855134046148)	1610726827.0	2.0
717	POINT (14.6085513404618 59.1238990097701)	9.0	POINT (14.6085513404618 59.1238990097701)	2.0	POINT (59.12391696353134 14.6085513404618)	1610726828.0	2.0
719	POINT (14.60854824735659 59.12387903556207)	9.0	POINT (14.60854824735659 59.12387903556207)	2.0	POINT (59.12389698932337 14.60854824735659)	1610726831.0	2.0
722	POINT (14.60854803576771 59.12387903424579)	9.0	POINT (14.60854803576771 59.12387903424579)	2.0	POINT (59.12389698800709 14.60854803576771)	1610726832.0	2.0
723	POINT (14.60854803576733 59.12387903424569)	9.0	POINT (14.60854803576733 59.12387903424569)	2.0	POINT (59.12389698800699 14.60854803576733)	1610726833.0	2.0
